nohup: ignoring input
{'没关系': 0, '毕业院校': 1, '主角': 2, '占地面积': 3, '成立日期': 4, '主题曲': 5, '歌手': 6, '创始人': 7, '简称': 8, '母亲': 9, '人口数量': 10, '嘉宾': 11, '代言人': 12, '校长': 13, '官方语言': 14, '邮政编码': 15, '父亲': 16, '所属专辑': 17, '主持人': 18, '祖籍': 19, '面积': 20, '票房': 21, '国籍': 22, '作者': 23, '首都': 24, '所在城市': 25, '作曲': 26, '导演': 27, '饰演': 28, '注册资本': 29, '朝代': 30, '专业代码': 31, '海拔': 32, '制片人': 33, '气候': 34, '编剧': 35, '修业年限': 36, '作词': 37, '董事长': 38, '妻子': 39, '丈夫': 40, '获奖': 41, '主演': 42, '号': 43, '总部地点': 44, '改编自': 45, '上映时间': 46, '出品公司': 47, '配音': 48}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 1/66465 loss:4.009495735168457
【train】1/5 2/66465 loss:3.822232961654663
【train】1/5 3/66465 loss:3.996450185775757
【train】1/5 4/66465 loss:4.148031711578369
【train】1/5 5/66465 loss:4.222782611846924
【train】1/5 6/66465 loss:4.142190456390381
【train】1/5 7/66465 loss:4.15378999710083
【train】1/5 8/66465 loss:4.004775524139404
【train】1/5 9/66465 loss:3.988677740097046
【train】1/5 10/66465 loss:4.127278804779053
【train】1/5 11/66465 loss:4.02689790725708
【train】1/5 12/66465 loss:3.9888203144073486
【train】1/5 13/66465 loss:3.972803831100464
【train】1/5 14/66465 loss:4.0626301765441895
【train】1/5 15/66465 loss:3.9453322887420654
【train】1/5 16/66465 loss:4.0305399894714355
【train】1/5 17/66465 loss:3.909952163696289
【train】1/5 18/66465 loss:4.0188727378845215
【train】1/5 19/66465 loss:3.8920106887817383
【train】1/5 20/66465 loss:3.8747408390045166
【train】1/5 21/66465 loss:3.8933255672454834
【train】1/5 22/66465 loss:3.928057909011841
【train】1/5 23/66465 loss:3.897123336791992
【train】1/5 24/66465 loss:3.9946718215942383
【train】1/5 25/66465 loss:3.813150644302368
【train】1/5 26/66465 loss:4.0041890144348145
【train】1/5 27/66465 loss:3.954336404800415
【train】1/5 28/66465 loss:3.785181999206543
【train】1/5 29/66465 loss:3.9738500118255615
【train】1/5 30/66465 loss:3.6569976806640625
【train】1/5 31/66465 loss:3.7683141231536865
【train】1/5 32/66465 loss:4.019707202911377
【train】1/5 33/66465 loss:3.7849788665771484
【train】1/5 34/66465 loss:3.9795825481414795
【train】1/5 35/66465 loss:3.8598194122314453
【train】1/5 36/66465 loss:3.964305877685547
【train】1/5 37/66465 loss:3.819185972213745
【train】1/5 38/66465 loss:3.965162992477417
【train】1/5 39/66465 loss:3.529207944869995
【train】1/5 40/66465 loss:3.791841506958008
【train】1/5 41/66465 loss:3.917638063430786
【train】1/5 42/66465 loss:3.8023014068603516
【train】1/5 43/66465 loss:3.9108340740203857
【train】1/5 44/66465 loss:3.9454891681671143
【train】1/5 45/66465 loss:3.599670171737671
【train】1/5 46/66465 loss:3.4661190509796143
【train】1/5 47/66465 loss:3.756943941116333
【train】1/5 48/66465 loss:3.8540751934051514
【train】1/5 49/66465 loss:3.851790189743042
【train】1/5 50/66465 loss:3.846487283706665
【train】1/5 51/66465 loss:3.58764910697937
【train】1/5 52/66465 loss:3.650186538696289
【train】1/5 53/66465 loss:3.611149549484253
【train】1/5 54/66465 loss:3.8502607345581055
【train】1/5 55/66465 loss:3.9293298721313477
【train】1/5 56/66465 loss:3.7606723308563232
【train】1/5 57/66465 loss:3.605337142944336
【train】1/5 58/66465 loss:4.011790752410889
【train】1/5 59/66465 loss:3.521314859390259
【train】1/5 60/66465 loss:3.577059507369995
【train】1/5 61/66465 loss:3.54550838470459
【train】1/5 62/66465 loss:3.5453083515167236
【train】1/5 63/66465 loss:3.4781510829925537
【train】1/5 64/66465 loss:3.591398000717163
【train】1/5 65/66465 loss:3.6586267948150635
【train】1/5 66/66465 loss:3.552501678466797
【train】1/5 67/66465 loss:3.6902687549591064
【train】1/5 68/66465 loss:3.614055871963501
【train】1/5 69/66465 loss:3.6920242309570312
【train】1/5 70/66465 loss:3.534621238708496
【train】1/5 71/66465 loss:3.6507434844970703
【train】1/5 72/66465 loss:3.396094560623169
【train】1/5 73/66465 loss:3.5912182331085205
【train】1/5 74/66465 loss:3.328773260116577
【train】1/5 75/66465 loss:3.786860704421997
【train】1/5 76/66465 loss:3.7955219745635986
【train】1/5 77/66465 loss:3.491090774536133
【train】1/5 78/66465 loss:3.7945854663848877
【train】1/5 79/66465 loss:3.5623559951782227
【train】1/5 80/66465 loss:3.5956451892852783
【train】1/5 81/66465 loss:3.490201950073242
【train】1/5 82/66465 loss:3.4542980194091797
【train】1/5 83/66465 loss:3.6739461421966553
【train】1/5 84/66465 loss:3.7269935607910156
【train】1/5 85/66465 loss:3.328404664993286
【train】1/5 86/66465 loss:3.4370381832122803
【train】1/5 87/66465 loss:3.495371103286743
【train】1/5 88/66465 loss:3.648075819015503
【train】1/5 89/66465 loss:3.516080141067505
【train】1/5 90/66465 loss:4.05856466293335
【train】1/5 91/66465 loss:3.1683733463287354
【train】1/5 92/66465 loss:3.469011068344116
【train】1/5 93/66465 loss:3.712400436401367
【train】1/5 94/66465 loss:3.477922201156616
【train】1/5 95/66465 loss:3.4275190830230713
【train】1/5 96/66465 loss:3.6154682636260986
【train】1/5 97/66465 loss:3.385024070739746
【train】1/5 98/66465 loss:3.3805649280548096
【train】1/5 99/66465 loss:3.4192612171173096
【train】1/5 100/66465 loss:3.3807499408721924
【train】1/5 101/66465 loss:3.583092451095581
【train】1/5 102/66465 loss:3.5390679836273193
【train】1/5 103/66465 loss:3.2932112216949463
【train】1/5 104/66465 loss:3.5505635738372803
【train】1/5 105/66465 loss:3.411439895629883
【train】1/5 106/66465 loss:3.7544453144073486
【train】1/5 107/66465 loss:3.5702474117279053
【train】1/5 108/66465 loss:3.644561767578125
【train】1/5 109/66465 loss:3.7493197917938232
【train】1/5 110/66465 loss:3.163461685180664
【train】1/5 111/66465 loss:3.3417294025421143
【train】1/5 112/66465 loss:3.6646289825439453
【train】1/5 113/66465 loss:3.468722105026245
【train】1/5 114/66465 loss:3.556532621383667
【train】1/5 115/66465 loss:3.5173966884613037
【train】1/5 116/66465 loss:3.5419294834136963
【train】1/5 117/66465 loss:3.4828426837921143
【train】1/5 118/66465 loss:3.6103742122650146
【train】1/5 119/66465 loss:3.3873977661132812
【train】1/5 120/66465 loss:3.2096567153930664
【train】1/5 121/66465 loss:3.34989857673645
【train】1/5 122/66465 loss:3.3926708698272705
【train】1/5 123/66465 loss:3.4577503204345703
【train】1/5 124/66465 loss:3.327547073364258
【train】1/5 125/66465 loss:3.3057749271392822
【train】1/5 126/66465 loss:3.310703992843628
【train】1/5 127/66465 loss:3.356557846069336
【train】1/5 128/66465 loss:3.564483404159546
【train】1/5 129/66465 loss:3.474977493286133
【train】1/5 130/66465 loss:3.4704787731170654
【train】1/5 131/66465 loss:3.409458875656128
【train】1/5 132/66465 loss:3.1803371906280518
【train】1/5 133/66465 loss:3.3124353885650635
【train】1/5 134/66465 loss:3.1726913452148438
【train】1/5 135/66465 loss:3.121507406234741
【train】1/5 136/66465 loss:3.2693674564361572
【train】1/5 137/66465 loss:3.365778923034668
【train】1/5 138/66465 loss:3.2426528930664062
【train】1/5 139/66465 loss:3.4116299152374268
【train】1/5 140/66465 loss:3.2646541595458984
【train】1/5 141/66465 loss:3.416208505630493
【train】1/5 142/66465 loss:3.195855140686035
【train】1/5 143/66465 loss:3.201075553894043
【train】1/5 144/66465 loss:3.3201847076416016
【train】1/5 145/66465 loss:3.242201089859009
【train】1/5 146/66465 loss:3.335554361343384
【train】1/5 147/66465 loss:3.021108865737915
【train】1/5 148/66465 loss:3.294020652770996
【train】1/5 149/66465 loss:3.0231332778930664
【train】1/5 150/66465 loss:3.1336257457733154
