nohup: ignoring input
{'性能故障': 0, '部件故障': 1, '检测工具': 2, '组成': 3, '没关系': 4}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 1/3340 loss:2.2082455158233643
【train】1/5 2/3340 loss:2.182922840118408
【train】1/5 3/3340 loss:2.223667860031128
【train】1/5 4/3340 loss:2.062976837158203
【train】1/5 5/3340 loss:1.7270121574401855
【train】1/5 6/3340 loss:1.8981176614761353
【train】1/5 7/3340 loss:1.8233777284622192
【train】1/5 8/3340 loss:1.6931325197219849
【train】1/5 9/3340 loss:1.4240798950195312
【train】1/5 10/3340 loss:1.4213552474975586
【train】1/5 11/3340 loss:1.3340249061584473
【train】1/5 12/3340 loss:1.3755062818527222
【train】1/5 13/3340 loss:1.2747424840927124
【train】1/5 14/3340 loss:0.9548699855804443
【train】1/5 15/3340 loss:1.2476946115493774
【train】1/5 16/3340 loss:0.8881433606147766
【train】1/5 17/3340 loss:1.2346850633621216
【train】1/5 18/3340 loss:1.0956482887268066
【train】1/5 19/3340 loss:1.0148380994796753
【train】1/5 20/3340 loss:1.2930914163589478
【train】1/5 21/3340 loss:1.1935597658157349
【train】1/5 22/3340 loss:1.0265194177627563
【train】1/5 23/3340 loss:0.6421163082122803
【train】1/5 24/3340 loss:1.133590579032898
【train】1/5 25/3340 loss:1.3616334199905396
【train】1/5 26/3340 loss:1.1956392526626587
【train】1/5 27/3340 loss:1.067973256111145
【train】1/5 28/3340 loss:0.785438060760498
【train】1/5 29/3340 loss:0.694739580154419
【train】1/5 30/3340 loss:0.6984352469444275
【train】1/5 31/3340 loss:0.9451602697372437
【train】1/5 32/3340 loss:1.6422301530838013
【train】1/5 33/3340 loss:0.7464524507522583
【train】1/5 34/3340 loss:1.0550025701522827
【train】1/5 35/3340 loss:0.7870951294898987
【train】1/5 36/3340 loss:0.7971863746643066
【train】1/5 37/3340 loss:0.7128474712371826
【train】1/5 38/3340 loss:0.6218283772468567
【train】1/5 39/3340 loss:0.5508744120597839
【train】1/5 40/3340 loss:0.8739126324653625
【train】1/5 41/3340 loss:0.6914578080177307
【train】1/5 42/3340 loss:0.5438812375068665
【train】1/5 43/3340 loss:0.7118597030639648
【train】1/5 44/3340 loss:0.6804614067077637
【train】1/5 45/3340 loss:1.3652459383010864
【train】1/5 46/3340 loss:0.9559960961341858
【train】1/5 47/3340 loss:1.0641868114471436
【train】1/5 48/3340 loss:0.6146578192710876
【train】1/5 49/3340 loss:1.0898659229278564
【train】1/5 50/3340 loss:0.8371805548667908
【train】1/5 51/3340 loss:0.7679832577705383
【train】1/5 52/3340 loss:0.42851144075393677
【train】1/5 53/3340 loss:0.7776289582252502
【train】1/5 54/3340 loss:1.0616644620895386
【train】1/5 55/3340 loss:0.6444715261459351
【train】1/5 56/3340 loss:0.831092894077301
【train】1/5 57/3340 loss:0.9302917718887329
【train】1/5 58/3340 loss:0.6803274750709534
【train】1/5 59/3340 loss:1.1011699438095093
【train】1/5 60/3340 loss:0.6751830577850342
【train】1/5 61/3340 loss:0.768974244594574
【train】1/5 62/3340 loss:0.548060417175293
【train】1/5 63/3340 loss:0.9061313271522522
【train】1/5 64/3340 loss:0.965538740158081
【train】1/5 65/3340 loss:0.9674131274223328
【train】1/5 66/3340 loss:0.989358127117157
【train】1/5 67/3340 loss:1.0391037464141846
【train】1/5 68/3340 loss:1.0513216257095337
【train】1/5 69/3340 loss:0.6811418533325195
【train】1/5 70/3340 loss:1.0650454759597778
【train】1/5 71/3340 loss:1.1311477422714233
【train】1/5 72/3340 loss:0.40801218152046204
【train】1/5 73/3340 loss:0.5896176695823669
【train】1/5 74/3340 loss:0.7639703154563904
【train】1/5 75/3340 loss:1.1589640378952026
【train】1/5 76/3340 loss:1.044948935508728
【train】1/5 77/3340 loss:0.7165537476539612
【train】1/5 78/3340 loss:0.8558457493782043
【train】1/5 79/3340 loss:1.2025290727615356
【train】1/5 80/3340 loss:0.8362565040588379
【train】1/5 81/3340 loss:1.038001537322998
【train】1/5 82/3340 loss:1.0005356073379517
【train】1/5 83/3340 loss:0.540330708026886
【train】1/5 84/3340 loss:1.0055323839187622
【train】1/5 85/3340 loss:0.7756194472312927
【train】1/5 86/3340 loss:1.132278561592102
【train】1/5 87/3340 loss:1.205649971961975
【train】1/5 88/3340 loss:0.99443119764328
【train】1/5 89/3340 loss:0.861131489276886
【train】1/5 90/3340 loss:0.8433756828308105
【train】1/5 91/3340 loss:1.0209274291992188
【train】1/5 92/3340 loss:0.7632551193237305
【train】1/5 93/3340 loss:1.0594450235366821
【train】1/5 94/3340 loss:0.8452020883560181
【train】1/5 95/3340 loss:0.6616988182067871
【train】1/5 96/3340 loss:1.1152266263961792
【train】1/5 97/3340 loss:1.0801199674606323
【train】1/5 98/3340 loss:1.2470157146453857
【train】1/5 99/3340 loss:1.0381404161453247
【train】1/5 100/3340 loss:0.45237210392951965
【train】1/5 101/3340 loss:0.8203356862068176
【train】1/5 102/3340 loss:0.8628423810005188
【train】1/5 103/3340 loss:0.6219658851623535
【train】1/5 104/3340 loss:1.334364414215088
【train】1/5 105/3340 loss:1.1416418552398682
【train】1/5 106/3340 loss:1.1716740131378174
【train】1/5 107/3340 loss:1.1129496097564697
【train】1/5 108/3340 loss:1.2276419401168823
【train】1/5 109/3340 loss:0.8785204291343689
【train】1/5 110/3340 loss:0.7716519236564636
【train】1/5 111/3340 loss:0.7245771884918213
【train】1/5 112/3340 loss:0.5802169442176819
【train】1/5 113/3340 loss:0.8618535995483398
【train】1/5 114/3340 loss:0.8001050353050232
【train】1/5 115/3340 loss:0.536672055721283
【train】1/5 116/3340 loss:0.5332996249198914
【train】1/5 117/3340 loss:1.2125333547592163
【train】1/5 118/3340 loss:0.8745381832122803
【train】1/5 119/3340 loss:0.42697083950042725
【train】1/5 120/3340 loss:0.4313339293003082
【train】1/5 121/3340 loss:0.7678366303443909
【train】1/5 122/3340 loss:0.39694830775260925
【train】1/5 123/3340 loss:1.0280364751815796
【train】1/5 124/3340 loss:1.0991672277450562
【train】1/5 125/3340 loss:0.8213759064674377
【train】1/5 126/3340 loss:0.35561370849609375
【train】1/5 127/3340 loss:0.3569236993789673
【train】1/5 128/3340 loss:0.48013177514076233
【train】1/5 129/3340 loss:1.392252802848816
【train】1/5 130/3340 loss:0.7575984597206116
【train】1/5 131/3340 loss:1.2925020456314087
【train】1/5 132/3340 loss:1.1170997619628906
【train】1/5 133/3340 loss:0.5250726342201233
【train】1/5 134/3340 loss:1.328325867652893
【train】1/5 135/3340 loss:1.120315432548523
【train】1/5 136/3340 loss:0.6985768675804138
【train】1/5 137/3340 loss:0.9416711926460266
【train】1/5 138/3340 loss:0.7211554050445557
【train】1/5 139/3340 loss:1.156736969947815
【train】1/5 140/3340 loss:0.9524364471435547
【train】1/5 141/3340 loss:0.9520065188407898
【train】1/5 142/3340 loss:1.0999200344085693
【train】1/5 143/3340 loss:1.2711154222488403
【train】1/5 144/3340 loss:0.6885547041893005
【train】1/5 145/3340 loss:1.0496312379837036
